id,objection_key,buyer_says,what_they_really_mean,recommended_approach,principles_used,sample_replies,escalate_or_disengage_if,source_books
OBJ-price-too-high,price-too-high,$45 is way too much for this; that's expensive for a used item; this brand isn't worth that much; seems high,"Either a value-doubt ('convince me it's worth it'), a budget signal, or a desire to feel they got a fair deal — rarely a flat refusal.","Acknowledge the concern, justify with sold comps reasoning-first, hold your goal-anchor, and pivot to terms/value rather than caving on the number.",PRIN-020; PRIN-003; PRIN-009; PRIN-021; PRIN-005,"warm=Totally fair to push on price — I hear it feels steep for secondhand. If the price is the blocker I can cover shipping or bundle to add value. What would feel right to you?; firm=Yes, it's at the higher end — and that's because it's barely worn and authenticated. The way I see it, that's where the value is. I'd rather be upfront than haggle.; data_backed=Recent sold ones in this condition went for $48-$55 (happy to screenshot) — I'm at $50, already inside that range. I can do $47 if you close today.",Buyer turns abusive or it converts into review-extortion -> handle as OBJ-rude-aggressive / bargaining bully.,NSD; GTY; GPN; BFA; 3DN; INF; DC
OBJ-is-it-available,is-it-available,is this still available?; still got this?; do you still have this in stock?,A low-signal buying cue — mild interest that needs a gentle nudge to become a real conversation.,"Answer warmly, name yourself, and add one forward-motion step (a small-yes or one true scarcity note) instead of a dead 'yes'. Don't over-negotiate.",PRIN-039; PRIN-032; PRIN-031; PRIN-011,"warm=Yes it is! I'm Sam — were you looking to grab it now or did you have a question about it first?; firm=Yes, still available. Want me to send you an offer so you can lock it in?; data_backed=Yes it's here! It's the last one in this size though and a few people have it saved — want me to hold it for you for a bit?","No escalation path; if it turns into an off-platform request, switch to OBJ-off-platform-request.",NSD; GTY; GPN; BFA; 3DN; INF; DC
OBJ-lowball,lowball,"I'll give you $20 (listed $45); $25? (listed $60); what's the lowest, I'm on a budget; $20 take it or leave it","A budget cap, a habitual opening move for bragging rights, or a probe of your floor — decode the interest before reacting to the number.","Don't react to the number. Probe the interest/theory with a calibrated question, justify your price on comps, then either hold (strong BATNA) or make ONE labeled concession on a shrinking ladder near your list — never reflex-split.",PRIN-002; PRIN-004; PRIN-003; PRIN-009; PRIN-007; PRIN-008; PRIN-010,"warm=I appreciate the offer! What were you hoping to spend, and is this for something specific? Helps me see what I can do beyond the number.; firm=I appreciate it, but at $20 I'd genuinely rather hold and relist — these sell around $30-35. $28 and I ship today, otherwise no worries.; data_backed=I can't do $20 — recent solds are $48-$55, so I'd be way under market. How'd you get to $20? If it's budget, I might be able to bundle something.","Buyer repeats the same lowball with hostility or insults after two exchanges -> disengage politely, leave the standing offer, relist.",NSD; GTY; GPN; BFA; 3DN; INF
OBJ-competitor-cheaper,competitor-cheaper,I've seen these for $25; another seller has it cheaper; I can get this cheaper on another account,"Wants reassurance they're not overpaying; may be over-estimating their alternative or bluffing — the cheaper one is often worse condition, unauthenticated, or slow.","Don't disparage; probe the claim ('what condition? send the link'), differentiate on the real alternative (condition, authenticity, ship speed, returns), and shape their no-deal option honestly.",PRIN-003; PRIN-011; PRIN-036; PRIN-002; PRIN-031,"warm=Totally fair to compare! Mine ships tracked, condition's verified in the photos, and I've 180+ 5-star sales — happy to talk it through.; firm=You might find a lower sticker — worth checking it's the same condition, authenticated, and ships fast. Mine is. If the cheaper one matches all that, grab it; if not, $45 here is solid.; data_backed=Send me the link and I'll take a real look — if it's the same item and condition I'll factor it in; the recent solds in this shape are $48-55, so they're often not actually the same.","Buyer refuses to share the comp and keeps demanding a match below your floor -> hold, leave the standing offer.",GTY; GPN; BFA; 3DN; INF; DC; NSD
OBJ-condition-doubt,condition-doubt,"what condition is it really in?; the photos are dark, I can't tell; is there any damage?; this isn't what I expected (post-sale)","A value-doubt and fear of being disappointed — needs proof and confidence, not a discount.","Treat as a value-doubt interest: get curious, supply proof (extra photos, measurements, grade) and contingent terms (returns), disclose real flaws honestly. Pre-sale: don't drop price. Post-sale: acknowledge feeling, own any real miss, offer options.",PRIN-013; PRIN-004; PRIN-030; PRIN-036; PRIN-042; PRIN-043,"warm=Totally fair to want to be sure — I'll send extra close-ups and the measurements so you can judge before you commit. Anything specific you want a photo of?; firm=I disclose every flaw in the photos — there's one tiny mark on the hem, shown in pic 4. I grade it 8/10 and I accept returns if it's not as described, so there's no risk on your side.; data_backed=Here are close-ups of the seams and sole; last two buyers rated condition 5/5. I'd grade it 8/10 — want any other angle?",Post-sale 'not as described' that the buyer escalates -> move to OBJ-trust-authenticity / two-option resolution; involve platform if no agreement.,NSD; GTY; GPN; BFA; 3DN; INF; DC
OBJ-shipping-cost,shipping-cost,shipping is too expensive; $8 shipping on top? no thanks; can you do free shipping?,The total feels high or there's a surprise at checkout; often cheaper to absorb shipping than to cut the item price.,"Acknowledge ('yes, shipping adds up'), then dovetail: absorb shipping or fold it into one flat number, or use a second item to spread the one shipping fee — a low-cost-to-you, high-value-to-them trade.",PRIN-005; PRIN-006; PRIN-002; PRIN-028,"warm=Yes, shipping does add up — what if I cover it? That effectively knocks a few dollars off for you. That's on me.; firm=How about I build shipping into one flat $48 so there are no surprises at checkout? Often works out better than a price drop plus postage.; data_backed=Grab a second item and I'll ship both for the one shipping fee — so the per-item postage basically halves.",n/a — not an escalation-prone objection.,NSD; GTY; GPN; 3DN; INF; DC
OBJ-wants-bundle-deal,wants-bundle-deal,any deal if I take two/three?; can you do a bundle?; would you take less on the green tee?,Wants overall value and a fair package; the highest-value integrative opportunity — they'll grow the deal if it benefits both.,"Embrace it — move northeast: pair the wanted item with related stock at a small blended discount plus combined shipping, framed as a cooperative win and (for a stuck haggle) as a face-saving bridge. Use a labeled If/then so you never give for free.",PRIN-006; PRIN-005; PRIN-022; PRIN-031; PRIN-028,"warm=Love that — let's build a bundle that works for both of us. Pick three and I'll knock 15% off the total and combine shipping. Sound good?; firm=If you add the grey tee you liked, then I'll do both for $60 shipped — better value than either alone. Want me to set that up?; data_backed=Take both for $32 instead of $40 (singles) and I'll cover shipping — that's a 20% saving and one package for me.","Buyer keeps adding items and re-cutting the total (nibble) -> name it gently, settle the whole bundle at once.",NSD; GTY; GPN; BFA; 3DN; INF; DC
OBJ-stalling-ghosting,stalling-ghosting,(silence after a question or offer); thinking about it; maybe next payday; (committed verbally then went quiet before paying),"An unmet blocker (price, fit, trust, timing) or simple inertia; may be an avoider who flees pressure.",Find the blocker with a 'why not?'; revive with a single 'No'-oriented question; keep the standing offer visible with a neutral warning + true scarcity; restore freedom; then close for commitment with a written confirmation and an immediate offer/invoice.,PRIN-015; PRIN-004; PRIN-023; PRIN-011; PRIN-033; PRIN-025,"warm=No rush at all! What's the one thing holding you back? If it's fit I'll send pics, if it's price tell me your ballpark. Happy to make it easy either way.; firm=Have you given up on this one? Totally fine if it's no longer right — just want to know whether to keep holding it for you.; data_backed=Just circling back — $38 with free shipping still stands. A couple people have it saved and it's the last in this size, so it may sell soon. No pressure!","Buyer who clearly declined -> stop nudging (one nudge max), relist; a committed-then-ghosted unpaid item -> open from the Third Story once, then let the offer lapse / platform unpaid-item process.",NSD; GTY; GPN; BFA; 3DN; INF; DC
OBJ-off-platform-request,off-platform-request,"let's do this on WhatsApp / Venmo F&F; I'll pay you outside the app, trust me; send it first and I'll pay after; here's a payment link / I've sent the payment (screenshot)","Either convenience-seeking or, more often, an attempt to remove buyer/seller protection so they can take the item or money (overpayment, fake-screenshot, chargeback, ship-before-pay scams).","SAFETY STOP — not a negotiation. Decline warmly on principle (mutual protection, not suspicion) using an 'I feel safer on the app' frame; never ship before confirmed on-platform payment; if pressed, disengage and report.",PRIN-044,"warm=I appreciate you wanting to make it easy! I feel more comfortable keeping it on the app though — it protects us both if anything goes sideways. Happy to go ahead at the agreed price right here whenever you're ready.; firm=I keep all sales on-platform for both our protection — happy to finish the deal right here, but I can't take payment or ship outside the app.; data_backed=On-platform payment means we're both covered by buyer/seller protection if anything goes wrong — that's why I never go off-app. I'll send the offer here and ship the moment it clears.","Any pressure to ship before confirmed payment, an overpayment/refund ask, or a 'payment sent' screenshot you can't verify in-app -> hard stop, do not ship, report and block.",GTY; GPN; BFA; 3DN; INF; DC; NSD
OBJ-trust-authenticity,trust-authenticity,how do I know it's real?; is this legit? don't want to get scammed; are you a real seller?; you KNEW this was fake (post-sale accusation),Security fear — of buying a fake or being defrauded; wants proof and a safety net. Aggression here usually springs from fear.,"Provide genuine proof/authority (receipts, serials, detail photos, sales history, on-platform protection), decouple from personal trust, and lean on platform authentication as a contingent term. If accused post-sale, disentangle intent from impact: acknowledge the feeling first, then invite evidence.",PRIN-030; PRIN-029; PRIN-036; PRIN-041; PRIN-021,"warm=100% fair to ask! I've got 180+ sales with a 4.9 rating, all items shipped tracked, and I disclose every flaw in the photos. Anything specific you'd like to see to feel comfortable?; firm=It's honestly not a trust thing — I keep everything through the app so we're both covered, and I stand behind every item. Here's what I can show you to verify.; data_backed=Photos of the date code (inside the side pocket) and the original receipt are added — hardware's engraved not stamped, a real-vs-fake tell. At $400+ it also ships through eBay's Authenticity Guarantee, so it's inspected before it reaches you.","Post-sale fraud accusation that escalates despite evidence -> offer two-option resolution (PRIN-043), document, and let the platform's dispute process decide.",NSD; GTY; GPN; BFA; 3DN; INF; DC
