id,name,one_line,why_it_works,when_to_use,when_not_to_use,marketplace_surface,product_stage_tags,source_books,primary_source,marketplace_fit_rank,example_buyer_message,recommended_reply,conflict_notes
PRIN-001,Bounce the price back — let the buyer name a number first,Never volunteer a discount; answer 'what's your lowest?' with an open question that makes the buyer reveal their budget.,"The buyer's first number is usually above your floor; disclosing first gives away leverage and risks underselling. Probing buys information, which is leverage.",Any 'best price?' / 'lowest you'll go?' / 'what's it worth to you?' opener before a number is on the table.,When you want a fast sale at a fixed number and the buyer is an informed pro; trivial items where the dance costs more than the gap.,First DM reply on Depop/Vinted/Posh; eBay Best-Offer where you can wait for the buyer to offer.,intent-detection; pricing; reply-gen,NSD; GTY; BFA; 3DN,NSD,5,What's the lowest you'll go?,I'm open to a fair offer — what were you hoping to spend?,
PRIN-002,Calibrated / problem-solving question (deflect a demand into their problem),Answer a lowball or demand with a deferential open 'How/What' question that makes the buyer solve your constraint instead of you saying no.,"Creates forced empathy and the illusion of control; the buyer talks themselves up or withdraws the demand without a flat rejection that triggers a fight. Merges Voss 'How am I supposed to do that?', Ury open problem-solving question, GTY 'What's your theory?', and Shell 'probe first'.",Direct lowballs; 'free shipping or no deal'; 'knock off $X'; any rigid demand.,Aggressive tone turns it into an accusation; against analyst/data buyers pair it with a fact; on a clean acceptable offer just accept.,The #1 default reply to a lowball Offer on eBay/Posh/Depop; counter to 'free shipping or no deal'.,objection; pricing; reply-gen; intent-detection,NSD; GTY; GPN; BFA,NSD,5,I'll give you $20.,I appreciate the offer — how am I supposed to do $20 when these sell for $45? What were you hoping to spend?,
PRIN-003,Justify the price with sold comps (objective criteria / normative leverage),"Defend your number with an external standard — recent sold listings, condition norms, retail-minus-depreciation — reasoning first, figure second.","An agreement grounded in a standard is harder to attack and depersonalizes the price (conceding to the standard isn't conceding to you). People defer to standards they already accept (consistency principle). Merges GTY objective criteria, Shell normative leverage, 3-D 'because', Ury 'what makes that fair'.","Any price challenge, lowball, or 'competitor cheaper'; defending a firm price.",When no real comp exists (never fabricate) — pivot to interests/options; when you're genuinely above market the standard cuts against you.,Screenshotting eBay Sold range or comparable Depop/Posh sold listings in chat; one-line price justification in the description.,pricing; objection; trust; listing,GTY; BFA; 3DN; GPN; NSD,GTY,5,"$45 is too much, nobody pays that.","Fair to push on price — the last three of these sold for $48-$55 in this condition (happy to screenshot), so $45 is already under that. If you've seen one cheaper, send the link and I'll take a real look.",
PRIN-004,Decode the interest behind the position,"A buyer's number ('$20') hides a real interest — budget cap, value-doubt, occasion/timing, comparison; find it and you can satisfy it without dropping price.","For every interest there are several positions that satisfy it; reconciling interests (not splitting positions) produces wiser deals and reveals cheap non-price fixes. Merges GTY interests, Shell 'why is the other party sitting there', 3-D 'probe behind the position', Ury reframe-to-interest.",Every lowball or stall before you counter; a saved/liked item that won't convert.,When the interest is obvious and met; interrogating a fast clean sale.,One interest-probing question in chat before any counter on eBay/Posh Offer.,intent-detection; objection; pricing; reply-gen,GTY; BFA; 3DN; GPN,GTY,5,Would you take $20? (listed $45),"Happy to work with you — what were you hoping to spend, and is this for something specific? Helps me see what I can do beyond the number.",
PRIN-005,"Hold price, add value — trade non-monetary terms (dovetail differences)","When stuck on 'how much?', keep the price and trade things cheap to you but valuable to them: free/absorbed shipping, a throw-in, a held item, faster dispatch.","A price cut costs you dollar-for-dollar; an option can be near-free to you and high-value to the buyer. Differences in what each side values are what make win-win deals. Merges Voss pivot-to-nonmonetary, GTY invent options/dovetail, Shell integrative trade, 3-D dovetail/move-northeast.",Gap between your floor and their ceiling; bundle interest; buyers who want 'a deal'.,Single cheap item where complexity annoys; buyer only wants the one item cheaper and nothing else has value to them.,Depop/Vinted shipping absorption; Posh bundle; 'I'll cover shipping instead of dropping the price'.,pricing; objection; reply-gen; listing,NSD; GTY; BFA; 3DN,3DN,5,Can you do $25 instead of $30?,"I'd rather keep it at $30 since it's priced fairly — but I'll cover shipping, which works out about the same for you. Deal?",
PRIN-006,Bundle to grow the pie (move northeast),Turn a one-item haggle into a larger sale: pair the wanted item with related stock at a small blended discount and combined shipping.,"A bigger pie means each side's share can be bigger; bundling moves more inventory at a better blended margin and gives the buyer a face-saving way to a lower per-item price. Merges GTY multi-item options, Shell logrolling, 3-D move-northeast, Cialdini cooperation framing.",Buyer is haggling one item and you have related stock; closet clear-outs; buyer has liked multiple items.,Buyer wants exactly one specific item with no use for anything else.,Core Depop/Poshmark/Vinted bundle mechanics; eBay 'send offer to likers'.,pricing; listing; reply-gen; system-design,GTY; BFA; 3DN; INF,3DN,5,Would you take $18 on the green tee?,"You've also liked the blue one — take both for $32 instead of $40 and I'll cover shipping. More for you, one package for me.",
PRIN-007,"Shrinking-increment concession ladder, never for free","Concede in steps that each get smaller, slow visibly near your floor, end on an odd number, and attach a condition or reason to every move.","Decreasing increments signal you're near your limit; reciprocity makes the buyer counter; free or escalating concessions teach them to keep pushing. Merges Voss Ackerman ladder, Shell shrinking ladder + If/then, 3-D converging concessions, Cialdini rejection-then-retreat.",Multi-message haggles with a committed buyer; higher-value items worth the back-and-forth.,Low-value quick flips; first lowball you should rule out instead; when a strong BATNA means you shouldn't move at all.,eBay Best-Offer / Posh counter sequencing (e.g. $50 -> $44 -> $41 -> $40 firm).,pricing; objection; reply-gen; coaching,NSD; BFA; 3DN; INF,NSD,5,$35... $40?... $42?,"I came down to $44 already — I can do $43 if we close now, and that's really as far as I can go on this one.",See PRIN-008: Voss 'don't split the difference' vs the reciprocal concession dance. Reconciled by conceding on a shrinking ladder to your real floor rather than reflexively meeting at the midpoint.
PRIN-008,Don't reflexively split the difference — no deal beats a bad deal,"Refuse the automatic 'meet me halfway'; counter with a small odd move or a term, anchored to your floor, and be ready to relist.","The midpoint of two arbitrary numbers is itself arbitrary; reciprocity drags outcomes to the midpoint, so symmetric moves give value away. Readiness to walk removes neediness, which is leverage. Merges Voss don't-compromise, 3-D midpoint-rule warning, Shell goal-not-floor anchoring.",Buyer pushes 'just split it'; thin-margin items; serial discounters.,"When the item is aging, you need cash/space, and 'halfway' still clears your floor — know your floor first.",Countering 'let's just do $35' on any platform; eBay Best-Offer auto-decline below floor.,pricing; objection; coaching; metrics,NSD; 3DN; BFA,NSD,4,"You're at $40, I'm at $30, let's just do $35.","I get the instinct to split it, but $35 doesn't quite work for me. I can do $38 today, otherwise no worries — I'm happy to hold out.","DIRECT CONFLICT with GTY (PRIN-003), which says splitting between two figures each backed by a real standard is fair. Reconciliation: never split two arbitrary numbers (Voss), but a split that lands inside the comp-supported fair range is acceptable; gate the midpoint behind your floor and a standard."
PRIN-009,"Anchor on your goal, not your floor (high-but-defensible list price)",Set the listing and counters at the top of the defensible fair range and treat that as your reference point; keep your walk-away floor out of focus.,"People who expect more generally get more; anchoring on the floor makes you relax and stop striving the moment an offer clears it, and buyers sense that relaxation. The first number sets the zone. Merges Shell goals-vs-bottom-line + anchor effect, 3-D anchoring, Cialdini contrast.",Setting list price; making the first counter; whenever you have leverage and a comp to cite.,When you lack leverage and the buyer knows it; aging unsold item; relationship outweighs stakes (open closer to fair); never an anchor that fails the giggle test.,"List near the top of the eBay Sold range rather than the average; counter near list, not the middle.",listing; pricing; coaching,BFA; 3DN; INF; GPN,BFA,4,What's the lowest you'll go?,"Based on what these have sold for recently ($48-$55), $50 is already a good deal — that's where I'm at. Happy to bundle if you want more value.","Tension with GTY (which prefers a BATNA-based reservation over an anchor) — reconciled: anchor high to claim value, but the anchor must be comp-defensible (PRIN-003) and the accept/decline decision is governed by BATNA (PRIN-010)."
PRIN-010,Know your BATNA — relist/hold is your walk-away (and your trip wire),"Decide before negotiating what you'll do if it doesn't sell (relist, cross-list, hold, keep) and judge every offer against that, with a 'reconsider below $X' trip wire instead of a rigid bottom line.","A BATNA is a smarter measure than a guessed bottom line and tells you exactly when to walk; the better your BATNA the greater your power. A trip wire keeps flexibility while blocking a regret-accept in the heat of the moment. Merges GTY BATNA + trip wire, Ury prepare-the-prize, Shell leverage, 3-D no-deal options.",Setting accept/counter/decline thresholds; any 'final offer' moment; deciding whether to take a sitting offer.,"As a static number — recompute as saves/watchers/days-listed change; an aging zero-interest listing has a weaker BATNA, so be more flexible.","eBay Best-Offer auto-decline threshold; copilot 'this is under your reconsider line — counter, hold, or accept?' prompt.",pricing; coaching; metrics; safety,GTY; GPN; BFA; 3DN,GTY,5,$30 take it or leave it.,"I appreciate the straight offer. At $30 I'd genuinely rather relist — it's getting steady interest at $45. I could meet you at $40 today, though, and we're done. Deal?",
