id,label,description,observable_signals,likely_underlying_interest,recommended_strategy,risk_flags,source_books
INTENT-001,Serious / interest-driven buyer,"Engaged, responsive buyer asking genuine questions, stating a real budget or use, ready to move to purchase. The highest-conversion intent — don't over-negotiate.","asks specific questions (measurements, condition, ship time); states a real budget or 'is this for me/a gift'; responsive and timely replies; fair or near-list offer; explains why they want it",Wants this specific item at a fair price and to buy with confidence (security + economic well-being).,PRIN-032; PRIN-018; PRIN-024; PRIN-025,over-negotiating a ready yes and souring it; missing the close by stalling on more questions,GPN; BFA; 3DN; GTY; INF
INTENT-002,Lowballer,"Opens with an offer far below ask, often with little engagement; may be a bargain-hunter, a competer, or a value-claimer testing how far you'll drop.","offers <50-60% of ask, often instantly; '$X take it or leave it' with no reasoning; no item-specific questions; frames it as winning / 'you're overpriced'; repeats the same low number","Could be a hard budget cap, habitual haggling for bragging rights, or a value-claimer probing your floor — decode before reacting.",PRIN-002; PRIN-004; PRIN-003; PRIN-009; PRIN-007; PRIN-008,caving to the anchor and signalling lots of room; splitting the difference reflexively; over-investing effort on a non-serious bargain-hunter,NSD; GTY; GPN; BFA; 3DN; INF
INTENT-003,Anchor-shopper / comparison buyer,"Justifies a low price by citing a cheaper alternative ('I've seen it for $25', 'another seller is cheaper'); may be a real comparison or a bluff.",'I can get this cheaper elsewhere / on another account'; cites a competitor price or sold listing; 'this brand isn't worth that much'; asks you to match a price,Wants reassurance they're not overpaying; may be over-estimating their alternative (the cheaper one may be worse condition/unauthenticated/slow).,PRIN-003; PRIN-011; PRIN-036; PRIN-002,dropping price to a fabricated or non-comparable comp; disparaging the competitor instead of differentiating; matching a bluff,GTY; GPN; BFA; 3DN; INF
INTENT-004,Hesitant / uncertain buyer,"Wants the item but isn't sure — about fit, condition, authenticity, or budget; a nervous or first-time secondhand buyer. The interest is usually NOT price.","'hmm, not sure', 'idk'; 'never bought secondhand before'; asks lots of basic/reassurance questions; '$40 feels like a lot for something used'; saves/likes but hesitates to commit","Value-doubt or fit/condition fear, not price — needs proof and confidence, not a discount.",PRIN-013; PRIN-004; PRIN-029; PRIN-030; PRIN-036; PRIN-032,dropping price when proof would have closed it; pressuring into reactance; skipping the small-yes ladder,NSD; GTY; BFA; 3DN; INF; DC
INTENT-005,Ghoster / staller / fence-sitter,"Went quiet after engaging, or keeps saying 'maybe later / next payday' without committing; saved or liked but won't message or pay.","silence 24h+ after a question or offer; 'thinking about it', 'maybe next payday'; multiple likes/saves then no message; slow, non-committal replies; committed verbally then went silent before paying","An unmet blocker (price, fit, trust, timing) or simple inertia; may be conflict-averse (avoider) who flees pressure.",PRIN-015; PRIN-004; PRIN-023; PRIN-011; PRIN-033; PRIN-025,nagging into reactance; fabricating scarcity to force a move; no commitment device so the verbal yes evaporates,NSD; GTY; GPN; BFA; 3DN; INF; DC
INTENT-006,Bundler / collaborator,"Open and exploratory, interested in multiple items, asks 'can we make this work?' — the highest-value persona for integrative deals.","interested in / has liked multiple items; 'any deal if I take three?'; 'is there a way we can work something out?'; receptive to bundles, open about needs",Wants overall value and a fair package; happy to grow the deal if it benefits both.,PRIN-006; PRIN-005; PRIN-028; PRIN-031,giving away margin by stacking free concessions; complicating a buyer who actually wants just one item,GTY; BFA; 3DN; INF
INTENT-007,Rude / aggressive buyer,"Uses insults, mockery, or hostility ('is this a joke', 'total ripoff'); may be a competer being blunt, or an attacker trying to throw you off balance.","insults / mocking ('is this a joke', 'overpriced garbage'); ALL CAPS, derisive lowball; attacks on the item or your credibility; hostile tone with a demand",Often fear (of being ripped off) or a tactic to rattle you into a concession; the power comes from your reaction.,PRIN-019; PRIN-020; PRIN-002; PRIN-021; PRIN-033,counter-punching (tanks the deal and your liking); caving to stop the discomfort; escalating an ambiguous-terse message you misread,NSD; GTY; GPN; BFA; INF; DC
INTENT-008,Bargaining bully / extortionist,"Treats everything as principle, uses threats (bad reviews, disputes) and serial nibbling as tactics, never reciprocates. A persona, not a style — respond on leverage, route real threats to safety.",'discount or I leave a one-star'; feedback/review extortion ('pay me $50 extra or...'); repeated escalation when pushed back on; serial nibbling after a deal; 'or else' ultimatums,To grind you down and extract more than fair; respects only strength.,PRIN-040; PRIN-019; PRIN-021; PRIN-010,rewarding the threat with a concession (invites more); matching abuse / retaliating; not documenting the thread before reporting,BFA; DC; NSD; INF
INTENT-009,Scam / off-platform actor,"Pushes to leave the platform or sets up a payment scam — off-platform pay, overpayment/refund, fake payment screenshot, ship-before-pay, chargeback bait. SAFETY STOP, not a negotiation.",'pay outside the app / Venmo F&F / this link'; 'ship it first and I'll pay you'; overpayment then 'refund me the difference'; sends a 'payment confirmation' screenshot before you see funds; asks for email/phone to 'finish off-platform'; urgency to move off-platform fast,To remove buyer/seller protections so they can take the item or money — not a genuine buyer.,PRIN-044,"HARD STOP: never negotiate, never apply balcony/bridge logic; never ship before confirmed on-platform payment; report and disengage if pressed",GTY; GPN; BFA; 3DN; INF; DC; NSD
INTENT-010,'Is it available?' low-signal pinger,"Sends a one-line availability check with no other engagement. A weak buying signal — convert gently, don't over-negotiate.","'is this still available?' and nothing else; 'still got this?'; no number, no questions, no context",Mild interest / casual browsing; possibly a buying signal that needs a nudge to become real.,PRIN-039; PRIN-032; PRIN-031,a dead 'yes' that kills momentum; launching a hard pitch off a one-liner,NSD; GTY; INF; 3DN; DC
